OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
258,Santiago de Huata,BO020204,NA,NA,NA,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
259,Santiago de Machaca,BO021901,NA,NA,NA,General José Manuel Pando,BO0219,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
260,Santivañez,BO030702,Santivanez,NA,NA,Capinota,BO0307,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
261,Santos Mercado,BO090503,NA,NA,NA,Federico Román,BO0905,Pando,BO09,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
262,Santuario de Quillacas,BO040202,NA,NA,NA,Abaroa,BO0402,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
263,Sapahaqui,BO020902,NA,NA,NA,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
264,Sena,BO090303,NA,NA,NA,Madre de Dios,BO0903,Pando,BO09,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
265,Shinahota,BO031602,NA,NA,NA,Tiraque,BO0316,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
266,Sicasica,BO021301,NA,NA,NA,Aroma,BO0213,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
267,Sicaya,BO030703,NA,NA,NA,Capinota,BO0307,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
268,Sipesipe,BO030902,NA,NA,NA,Quillacollo,BO0309,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
269,Sopachui,BO010403,NA,NA,NA,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
